Numéro de compte:;0000 00000000.00;
IBAN:;CH00 0000 0000 0000 0000 0;
Du:;2025-07-01;
Au:;2026-06-28;
Solde initial:;0.00;
Solde final:;35870.89;
Évaluation en:;CHF;
Nombre de transactions dans cette période:;104;

Date de transaction;Heure de transaction;Date de comptabilisation;Date de valeur;Monnaie;Débit;Crédit;Sous-montant;Solde;No de transaction;Description1;Description2;Description3;Notes de bas de page;
2025-10-14;;2025-10-14;2025-10-14;CHF;-367.99;;;6794.23;UBSC0033;ACOMPTE IMPOTS ICC;Ordre e-banking;Ref UBSC0033;;
2025-10-27;;2025-10-27;2025-10-27;CHF;-971.86;;;5822.37;UBSC0034;VIREMENT COMPTE EPARGNE;Ordre e-banking;Ref UBSC0034;;
2025-10-28;;2025-10-28;2025-10-28;CHF;;6686.50;;12508.87;UBSC0035;ANTEIS SA SALAIRE;Virement entrant;Ref UBSC0035;;
2025-11-01;;2025-11-01;2025-11-01;CHF;-1446.90;;;11061.97;UBSC0036;LOYER APPARTEMENT GENEVE;Ordre e-banking;Ref UBSC0036;;
2025-11-01;;2025-11-01;2025-11-01;CHF;-402.24;;;10659.73;UBSC0037;ASSURANCE MALADIE CSS;Ordre e-banking;Ref UBSC0037;;
2025-11-03;;2025-11-03;2025-11-03;CHF;-354.63;;;10305.10;UBSC0038;CHARGES COPROPRIETE;Ordre e-banking;Ref UBSC0038;;
2025-11-07;;2025-11-07;2025-11-07;CHF;-83.18;;;10221.92;UBSC0039;SWISSCOM MOBILE;Ordre e-banking;Ref UBSC0039;;
2025-11-08;;2025-11-08;2025-11-08;CHF;-107.04;;;10114.88;UBSC0040;ELECTRICITE SIG;Ordre e-banking;Ref UBSC0040;;
2025-11-14;;2025-11-14;2025-11-14;CHF;-367.03;;;9747.85;UBSC0041;ACOMPTE IMPOTS ICC;Ordre e-banking;Ref UBSC0041;;
2025-11-26;;2025-11-26;2025-11-26;CHF;-996.74;;;8751.11;UBSC0042;VIREMENT COMPTE EPARGNE;Ordre e-banking;Ref UBSC0042;;
2025-11-28;;2025-11-28;2025-11-28;CHF;;6082.66;;14833.77;UBSC0043;ANTEIS SA SALAIRE;Virement entrant;Ref UBSC0043;;
2025-11-28;;2025-11-28;2025-11-28;CHF;;337.56;;15171.33;UBSC0044;NOTES DE FRAIS ANTEIS SA;Virement entrant;Ref UBSC0044;;
2025-12-02;;2025-12-02;2025-12-02;CHF;-424.26;;;14747.07;UBSC0045;ASSURANCE MALADIE CSS;Ordre e-banking;Ref UBSC0045;;
2025-12-02;;2025-12-02;2025-12-02;CHF;-386.44;;;14360.63;UBSC0046;CHARGES COPROPRIETE;Ordre e-banking;Ref UBSC0046;;
2025-12-04;;2025-12-04;2025-12-04;CHF;-1570.17;;;12790.46;UBSC0047;LOYER APPARTEMENT GENEVE;Ordre e-banking;Ref UBSC0047;;
2025-12-08;;2025-12-08;2025-12-08;CHF;-72.54;;;12717.92;UBSC0048;SWISSCOM MOBILE;Ordre e-banking;Ref UBSC0048;;
2025-12-10;;2025-12-10;2025-12-10;CHF;-107.22;;;12610.70;UBSC0049;ELECTRICITE SIG;Ordre e-banking;Ref UBSC0049;;
2025-12-16;;2025-12-16;2025-12-16;CHF;-326.70;;;12284.00;UBSC0050;ACOMPTE IMPOTS ICC;Ordre e-banking;Ref UBSC0050;;
2025-12-23;;2025-12-23;2025-12-23;CHF;;7294.00;;19578.00;UBSC0051;ANTEIS SA SALAIRE;Virement entrant;Ref UBSC0051;;
2025-12-25;;2025-12-25;2025-12-25;CHF;-1038.04;;;18539.96;UBSC0052;VIREMENT COMPTE EPARGNE;Ordre e-banking;Ref UBSC0052;;
2025-12-28;;2025-12-28;2025-12-28;CHF;;366.25;;18906.21;UBSC0053;NOTES DE FRAIS ANTEIS SA;Virement entrant;Ref UBSC0053;;
2026-01-01;;2026-01-01;2026-01-01;CHF;-326.75;;;18579.46;UBSC0054;CHARGES COPROPRIETE;Ordre e-banking;Ref UBSC0054;;
2026-01-02;;2026-01-02;2026-01-02;CHF;-376.82;;;18202.64;UBSC0055;ASSURANCE MALADIE CSS;Ordre e-banking;Ref UBSC0055;;
2026-01-04;;2026-01-04;2026-01-04;CHF;-1477.99;;;16724.65;UBSC0056;LOYER APPARTEMENT GENEVE;Ordre e-banking;Ref UBSC0056;;
2026-01-05;;2026-01-05;2026-01-05;CHF;-85.93;;;16638.72;UBSC0057;SWISSCOM MOBILE;Ordre e-banking;Ref UBSC0057;;
2026-01-09;;2026-01-09;2026-01-09;CHF;-90.44;;;16548.28;UBSC0058;ELECTRICITE SIG;Ordre e-banking;Ref UBSC0058;;
2026-01-15;;2026-01-15;2026-01-15;CHF;-346.43;;;16201.85;UBSC0059;ACOMPTE IMPOTS ICC;Ordre e-banking;Ref UBSC0059;;
2026-01-27;;2026-01-27;2026-01-27;CHF;-883.83;;;15318.02;UBSC0060;VIREMENT COMPTE EPARGNE;Ordre e-banking;Ref UBSC0060;;
2026-01-27;;2026-01-27;2026-01-27;CHF;;328.72;;15646.74;UBSC0061;NOTES DE FRAIS ANTEIS SA;Virement entrant;Ref UBSC0061;;
2026-01-28;;2026-01-28;2026-01-28;CHF;;6024.22;;21670.96;UBSC0062;ANTEIS SA SALAIRE;Virement entrant;Ref UBSC0062;;
2026-02-01;;2026-02-01;2026-02-01;CHF;-365.47;;;21305.49;UBSC0063;CHARGES COPROPRIETE;Ordre e-banking;Ref UBSC0063;;
2026-02-03;;2026-02-03;2026-02-03;CHF;-1479.45;;;19826.04;UBSC0064;LOYER APPARTEMENT GENEVE;Ordre e-banking;Ref UBSC0064;;
2026-02-03;;2026-02-03;2026-02-03;CHF;-387.14;;;19438.90;UBSC0065;ASSURANCE MALADIE CSS;Ordre e-banking;Ref UBSC0065;;
2026-02-04;;2026-02-04;2026-02-04;CHF;-71.87;;;19367.03;UBSC0066;SWISSCOM MOBILE;Ordre e-banking;Ref UBSC0066;;
2026-02-09;;2026-02-09;2026-02-09;CHF;-107.76;;;19259.27;UBSC0067;ELECTRICITE SIG;Ordre e-banking;Ref UBSC0067;;
2026-02-12;;2026-02-12;2026-02-12;CHF;-370.94;;;18888.33;UBSC0068;ACOMPTE IMPOTS ICC;Ordre e-banking;Ref UBSC0068;;
2026-02-24;;2026-02-24;2026-02-24;CHF;;6140.21;;25028.54;UBSC0069;ANTEIS SA SALAIRE;Virement entrant;Ref UBSC0069;;
2026-02-28;;2026-02-28;2026-02-28;CHF;-924.60;;;24103.94;UBSC0070;VIREMENT COMPTE EPARGNE;Ordre e-banking;Ref UBSC0070;;
2026-02-28;;2026-02-28;2026-02-28;CHF;;354.64;;24458.58;UBSC0071;NOTES DE FRAIS ANTEIS SA;Virement entrant;Ref UBSC0071;;
2026-03-01;;2026-03-01;2026-03-01;CHF;-371.16;;;24087.42;UBSC0072;ASSURANCE MALADIE CSS;Ordre e-banking;Ref UBSC0072;;
2026-03-02;;2026-03-02;2026-03-02;CHF;-1626.38;;;22461.04;UBSC0073;LOYER APPARTEMENT GENEVE;Ordre e-banking;Ref UBSC0073;;
2026-03-04;;2026-03-04;2026-03-04;CHF;-348.14;;;22112.90;UBSC0074;CHARGES COPROPRIETE;Ordre e-banking;Ref UBSC0074;;
2026-03-08;;2026-03-08;2026-03-08;CHF;-109.67;;;22003.23;UBSC0075;ELECTRICITE SIG;Ordre e-banking;Ref UBSC0075;;
2026-03-09;;2026-03-09;2026-03-09;CHF;-72.54;;;21930.69;UBSC0076;SWISSCOM MOBILE;Ordre e-banking;Ref UBSC0076;;
2026-03-14;;2026-03-14;2026-03-14;CHF;-350.01;;;21580.68;UBSC0077;ACOMPTE IMPOTS ICC;Ordre e-banking;Ref UBSC0077;;
2026-03-23;;2026-03-23;2026-03-23;CHF;;6296.01;;27876.69;UBSC0078;ANTEIS SA SALAIRE;Virement entrant;Ref UBSC0078;;
2026-03-28;;2026-03-28;2026-03-28;CHF;-1067.75;;;26808.94;UBSC0079;VIREMENT COMPTE EPARGNE;Ordre e-banking;Ref UBSC0079;;
2026-04-01;;2026-04-01;2026-04-01;CHF;-1478.69;;;25330.25;UBSC0080;LOYER APPARTEMENT GENEVE;Ordre e-banking;Ref UBSC0080;;
2026-04-01;;2026-04-01;2026-04-01;CHF;-371.89;;;24958.36;UBSC0081;CHARGES COPROPRIETE;Ordre e-banking;Ref UBSC0081;;
2026-04-03;;2026-04-03;2026-04-03;CHF;-85.53;;;24872.83;UBSC0082;SWISSCOM MOBILE;Ordre e-banking;Ref UBSC0082;;
2026-04-04;;2026-04-04;2026-04-04;CHF;-403.64;;;24469.19;UBSC0083;ASSURANCE MALADIE CSS;Ordre e-banking;Ref UBSC0083;;
2026-04-12;;2026-04-12;2026-04-12;CHF;-99.95;;;24369.24;UBSC0084;ELECTRICITE SIG;Ordre e-banking;Ref UBSC0084;;
2026-04-14;;2026-04-14;2026-04-14;CHF;-386.40;;;23982.84;UBSC0085;ACOMPTE IMPOTS ICC;Ordre e-banking;Ref UBSC0085;;
2026-04-25;;2026-04-25;2026-04-25;CHF;;6981.10;;30963.94;UBSC0086;ANTEIS SA SALAIRE;Virement entrant;Ref UBSC0086;;
2026-04-27;;2026-04-27;2026-04-27;CHF;-976.15;;;29987.79;UBSC0087;VIREMENT COMPTE EPARGNE;Ordre e-banking;Ref UBSC0087;;
2026-05-01;;2026-05-01;2026-05-01;CHF;-1786.94;;;28200.85;UBSC0088;LOYER APPARTEMENT GENEVE;Ordre e-banking;Ref UBSC0088;;
2026-05-01;;2026-05-01;2026-05-01;CHF;-394.62;;;27806.23;UBSC0089;ASSURANCE MALADIE CSS;Ordre e-banking;Ref UBSC0089;;
2026-05-01;;2026-05-01;2026-05-01;CHF;-349.47;;;27456.76;UBSC0090;CHARGES COPROPRIETE;Ordre e-banking;Ref UBSC0090;;
2026-05-05;;2026-05-05;2026-05-05;CHF;-80.35;;;27376.41;UBSC0091;SWISSCOM MOBILE;Ordre e-banking;Ref UBSC0091;;
2026-05-12;;2026-05-12;2026-05-12;CHF;-111.93;;;27264.48;UBSC0092;ELECTRICITE SIG;Ordre e-banking;Ref UBSC0092;;
2026-05-18;;2026-05-18;2026-05-18;CHF;-328.02;;;26936.46;UBSC0093;ACOMPTE IMPOTS ICC;Ordre e-banking;Ref UBSC0093;;
2026-05-23;;2026-05-23;2026-05-23;CHF;;6512.07;;33448.53;UBSC0094;ANTEIS SA SALAIRE;Virement entrant;Ref UBSC0094;;
2026-05-24;;2026-05-24;2026-05-24;CHF;-1057.08;;;32391.45;UBSC0095;VIREMENT COMPTE EPARGNE;Ordre e-banking;Ref UBSC0095;;
2026-06-01;;2026-06-01;2026-06-01;CHF;-1727.39;;;30664.06;UBSC0096;LOYER APPARTEMENT GENEVE;Ordre e-banking;Ref UBSC0096;;
2026-06-01;;2026-06-01;2026-06-01;CHF;-373.40;;;30290.66;UBSC0097;ASSURANCE MALADIE CSS;Ordre e-banking;Ref UBSC0097;;
2026-06-01;;2026-06-01;2026-06-01;CHF;-368.11;;;29922.55;UBSC0098;CHARGES COPROPRIETE;Ordre e-banking;Ref UBSC0098;;
2026-06-03;;2026-06-03;2026-06-03;CHF;-88.31;;;29834.24;UBSC0099;SWISSCOM MOBILE;Ordre e-banking;Ref UBSC0099;;
2026-06-08;;2026-06-08;2026-06-08;CHF;-103.68;;;29730.56;UBSC0100;ELECTRICITE SIG;Ordre e-banking;Ref UBSC0100;;
2026-06-13;;2026-06-13;2026-06-13;CHF;-327.00;;;29403.56;UBSC0101;ACOMPTE IMPOTS ICC;Ordre e-banking;Ref UBSC0101;;
2026-06-22;;2026-06-22;2026-06-22;CHF;;7186.21;;36589.77;UBSC0102;ANTEIS SA SALAIRE;Virement entrant;Ref UBSC0102;;
2026-06-27;;2026-06-27;2026-06-27;CHF;-1090.43;;;35499.34;UBSC0103;VIREMENT COMPTE EPARGNE;Ordre e-banking;Ref UBSC0103;;
2026-06-28;;2026-06-28;2026-06-28;CHF;;371.55;;35870.89;UBSC0104;NOTES DE FRAIS ANTEIS SA;Virement entrant;Ref UBSC0104;;
